#, Source, Destination, Nb sommets traités classique, Nb sommets traités bidirectionnel
207,5355,8159,7903,6703
208,3219,6862,1963,1577
209,4828,6071,7528,6633
210,9982,9933,655,424
211,9565,5955,5423,4682
212,2719,8433,2700,1307
213,7270,2640,2545,1421
214,3634,4563,7921,6727
215,8100,9571,883,492
216,1416,9129,7107,4316
217,7505,1393,2474,1336
218,2299,3955,6765,4673
219,8097,3608,2932,2018
220,6652,629,9997,6891
221,2168,376,813,412
222,2568,7788,8858,6469
223,8234,8770,5462,2903
224,649,9407,9480,6966
225,4875,9707,5010,4271
226,57,5652,6415,2427
227,8148,1180,5089,2930
228,465,2267,6218,3956
229,4055,3978,5334,3137
230,5535,3451,2416,1649
231,5018,9661,6711,4304
232,9414,4183,7134,3017
233,239,3199,1669,808
234,2255,6205,121,85
235,2356,7811,1788,1606
236,2574,1547,8646,6773
237,8038,6191,930,684
238,6623,7294,3452,3043
239,4433,359,998,553
240,5183,7048,291,164
241,8610,3895,988,513
242,6391,5645,3350,2119
243,221,4685,5071,3269
244,147,5915,2699,1982
245,2746,2417,731,595
246,6481,4867,7543,6016
247,6410,9250,7701,4556
248,6421,2744,3145,2697
249,2776,6863,609,349
250,5834,7683,1035,488
251,1211,4142,7622,4905
252,7058,6848,3538,2954
253,4584,3820,3918,1625
254,318,7401,7644,5397
255,5732,306,3103,2706
256,889,8637,6562,3066
257,7686,4176,4961,4119
258,8142,5821,3871,2857
259,8763,8841,247,176
260,187,8547,92,46
261,1156,6586,5694,5060
262,8717,9855,1527,748
263,9850,2568,551,271
264,4858,5903,700,342
265,4209,7941,7948,4300
266,5998,9850,8057,5405
267,9690,4959,3120,1425
268,7245,3097,6015,2631
269,2002,9701,5389,4790
270,5128,6754,8334,4621
271,3608,7639,1922,946
272,7530,2979,5811,5037
273,9772,2009,7432,4142
274,866,6568,1110,560
275,4035,8899,9754,6612
276,3723,9769,5047,4130
277,8919,5832,2237,1114
278,8870,1234,9284,6563
279,2171,6513,9733,5069
280,6409,9744,7530,5173
281,5116,9654,1465,881
282,4769,5525,4003,1515
283,643,5048,1217,801
284,1363,6489,5553,3699
285,424,9614,2142,1624
286,2865,253,3027,1467
287,2064,5177,7325,4151
288,5032,4092,7925,5667
289,8374,8806,2867,2571
290,2821,177,6981,2312
291,1784,4816,9786,6295
292,3960,7423,7345,4125
293,9736,5040,8125,5367
294,8768,1329,7074,5247
295,9123,5410,5308,4087
296,8998,7663,4410,3652
297,6591,3813,3532,1477
298,182,5865,7865,6125
299,9325,8350,4871,2863
300,8088,67,8501,5233
301,1038,2681,8118,5589
302,6637,3022,7740,6528
303,369,2414,8677,6324
304,7733,6798,1185,697
305,4890,908,5931,4583
306,1565,877,6712,3854
307,8575,1781,5782,5204
308,4885,3259,5557,4812
309,4124,7669,7876,5401
310,5648,3232,9176,6987
311,3126,927,5773,3578
312,1893,3792,8138,5893
313,764,8070,2409,2031
314,8786,3434,8254,5056
315,458,3222,6513,4732
316,6656,8509,8686,6801
317,8631,1677,2296,1132
318,5633,712,1213,671
319,7647,8809,9482,6992
320,3782,3500,2504,1081
321,1051,5566,6473,3831
322,2525,7407,6320,4912
323,7131,4916,1213,931
324,2584,8704,2464,926
325,1669,8971,2304,1242
326,6025,2,3202,1791
327,7319,5212,3742,3342
328,2265,3128,4348,3078
329,2521,622,8361,5921
330,5752,4267,7572,6459
331,6366,6562,5173,2857
332,7534,1355,1483,756
333,1721,6299,9107,6718
334,8256,9599,8406,5629
335,77,6749,2234,913
